Territorio;Nivel educativo;Sexo;Titularidad del centro;Año/Curso;value
Navarra;FP Grado Medio;Total;Todos los centros;2016-2017;105
Navarra;FP Grado Superior;Hombres;Centros privados;2018-2019;182
Navarra;FP Grado Medio;Hombres;Todos los centros;2017-2018;61
Navarra;Total FP;Mujeres;Centros privados;2016-2017;30
Navarra;Total FP;Total;Todos los centros;2017-2018;607
Navarra;FP Grado Medio y FP Grado Superior;Mujeres;Todos los centros;2017-2018;223
Navarra;FP Grado Medio;Total;Centros públicos;2016-2017;67
Navarra;FP Básica y Grado Medio;Total;Todos los centros;2018-2019;172
Navarra;Total FP;Total;Todos los centros;2018-2019;784
Navarra;FP Grado Medio y FP Grado Superior;Total;Centros públicos;2018-2019;511
Navarra;FP Básica;Hombres;Centros privados;2017-2018;0
Navarra;FP Básica y Grado Medio;Total;Centros públicos;2017-2018;76
Navarra;FP Grado Superior;Total;Centros públicos;2018-2019;387
Navarra;FP Grado Medio;Hombres;Todos los centros;2016-2017;50
Navarra;FP Básica;Total;Centros privados;2016-2017;0
Navarra;FP Grado Medio y FP Grado Superior;Total;Todos los centros;2017-2018;607
Navarra;FP Básica y Grado Medio;Hombres;Todos los centros;2016-2017;50
Navarra;FP Básica;Mujeres;Centros privados;2018-2019;0
Navarra;FP Grado Medio;Hombres;Centros privados;2018-2019;33
Navarra;Total FP;Hombres;Todos los centros;2016-2017;319
Navarra;FP Grado Medio y FP Grado Superior;Total;Centros públicos;2017-2018;364
Navarra;FP Grado Superior;Hombres;Centros privados;2016-2017;144
Navarra;Total FP;Total;Centros privados;2018-2019;273
Navarra;FP Básica;Hombres;Todos los centros;2016-2017;0
Navarra;FP Básica y Grado Medio;Mujeres;Todos los centros;2017-2018;63
Navarra;FP Básica y Grado Medio;Total;Centros privados;2017-2018;48
Navarra;FP Grado Superior;Hombres;Todos los centros;2017-2018;323
Navarra;FP Grado Medio;Mujeres;Centros privados;2017-2018;15
Navarra;FP Grado Medio y FP Grado Superior;Total;Todos los centros;2016-2017;524
Navarra;FP Básica y Grado Medio;Total;Centros públicos;2018-2019;124
Navarra;Total FP;Hombres;Centros públicos;2016-2017;148
Navarra;FP Grado Medio y FP Grado Superior;Hombres;Todos los centros;2018-2019;514
Navarra;FP Básica;Hombres;Centros privados;2016-2017;0
Navarra;FP Básica;Hombres;Todos los centros;2017-2018;0
Navarra;FP Grado Superior;Mujeres;Centros privados;2018-2019;43
Navarra;FP Básica y Grado Medio;Mujeres;Todos los centros;2016-2017;55
Navarra;Total FP;Total;Centros privados;2017-2018;243
Navarra;FP Básica y Grado Medio;Hombres;Todos los centros;2017-2018;61
Navarra;Total FP;Hombres;Todos los centros;2017-2018;384
Navarra;FP Básica;Total;Centros públicos;2017-2018;0
Navarra;FP Básica y Grado Medio;Mujeres;Centros privados;2017-2018;15
Navarra;FP Grado Superior;Hombres;Todos los centros;2016-2017;269
Navarra;FP Grado Superior;Total;Centros privados;2017-2018;195
Navarra;FP Grado Superior;Mujeres;Centros privados;2017-2018;26
Navarra;FP Básica;Mujeres;Todos los centros;2016-2017;0
Navarra;Total FP;Hombres;Todos los centros;2018-2019;514
Navarra;FP Grado Medio y FP Grado Superior;Mujeres;Todos los centros;2016-2017;205
Navarra;FP Grado Medio;Mujeres;Centros públicos;2017-2018;48
Navarra;FP Grado Superior;Mujeres;Centros públicos;2017-2018;134
Navarra;FP Grado Superior;Hombres;Centros públicos;2016-2017;125
Navarra;FP Grado Medio;Total;Centros privados;2016-2017;38
Navarra;FP Grado Superior;Total;Centros públicos;2017-2018;288
Navarra;FP Grado Superior;Hombres;Centros privados;2017-2018;169
Navarra;Total FP;Mujeres;Centros privados;2018-2019;58
Navarra;FP Grado Medio;Hombres;Todos los centros;2018-2019;111
Navarra;FP Básica;Total;Centros privados;2018-2019;0
Navarra;FP Básica y Grado Medio;Hombres;Centros privados;2017-2018;33
Navarra;FP Grado Medio;Mujeres;Centros públicos;2018-2019;46
Navarra;FP Básica;Hombres;Centros privados;2018-2019;0
Navarra;FP Grado Medio;Mujeres;Todos los centros;2016-2017;55
Navarra;FP Grado Medio;Total;Todos los centros;2018-2019;172
Navarra;Total FP;Hombres;Centros públicos;2017-2018;182
Navarra;Total FP;Hombres;Centros privados;2016-2017;171
Navarra;FP Grado Medio y FP Grado Superior;Hombres;Centros privados;2016-2017;171
Navarra;FP Grado Medio;Hombres;Centros públicos;2018-2019;78
Navarra;FP Grado Superior;Mujeres;Todos los centros;2017-2018;160
Navarra;FP Grado Superior;Total;Todos los centros;2018-2019;612
Navarra;FP Grado Superior;Hombres;Centros públicos;2017-2018;154
Navarra;FP Grado Superior;Mujeres;Todos los centros;2016-2017;150
Navarra;FP Básica;Mujeres;Centros públicos;2018-2019;0
Navarra;FP Grado Superior;Hombres;Todos los centros;2018-2019;403
Navarra;FP Grado Medio;Hombres;Centros públicos;2017-2018;28
Navarra;FP Grado Medio y FP Grado Superior;Total;Centros privados;2018-2019;273
Navarra;Total FP;Mujeres;Centros públicos;2016-2017;175
Navarra;FP Grado Medio y FP Grado Superior;Total;Centros privados;2017-2018;243
Navarra;FP Grado Superior;Mujeres;Centros públicos;2016-2017;131
Navarra;FP Grado Superior;Mujeres;Centros privados;2016-2017;19
Navarra;Total FP;Mujeres;Todos los centros;2018-2019;270
Navarra;Total FP;Hombres;Centros privados;2017-2018;202
Navarra;Total FP;Mujeres;Centros públicos;2017-2018;182
Navarra;FP Básica y Grado Medio;Hombres;Todos los centros;2018-2019;111
Navarra;Total FP;Hombres;Centros públicos;2018-2019;299
Navarra;Total FP;Total;Centros públicos;2016-2017;323
Navarra;Total FP;Mujeres;Todos los centros;2017-2018;223
Navarra;FP Grado Medio y FP Grado Superior;Mujeres;Centros privados;2018-2019;58
Navarra;FP Grado Medio;Mujeres;Todos los centros;2018-2019;61
Navarra;FP Básica y Grado Medio;Mujeres;Centros públicos;2017-2018;48
Navarra;FP Grado Superior;Mujeres;Todos los centros;2018-2019;209
Navarra;FP Grado Medio;Mujeres;Centros privados;2016-2017;11
Navarra;FP Grado Medio y FP Grado Superior;Hombres;Centros públicos;2016-2017;148
Navarra;FP Grado Superior;Total;Centros privados;2018-2019;225
Navarra;FP Básica;Total;Todos los centros;2018-2019;0
Navarra;FP Grado Medio;Total;Centros privados;2018-2019;48
Navarra;FP Básica;Hombres;Centros públicos;2017-2018;0
Navarra;Total FP;Mujeres;Centros públicos;2018-2019;212
Navarra;FP Grado Medio y FP Grado Superior;Total;Todos los centros;2018-2019;784
Navarra;FP Grado Medio;Mujeres;Todos los centros;2017-2018;63
Navarra;FP Grado Superior;Total;Centros privados;2016-2017;163
Navarra;FP Grado Medio y FP Grado Superior;Mujeres;Centros públicos;2017-2018;182
Navarra;FP Grado Medio y FP Grado Superior;Mujeres;Centros públicos;2018-2019;212
Navarra;FP Básica;Hombres;Centros públicos;2016-2017;0
Navarra;Total FP;Hombres;Centros privados;2018-2019;215
Navarra;FP Básica y Grado Medio;Total;Todos los centros;2016-2017;105
Navarra;FP Básica y Grado Medio;Hombres;Centros públicos;2018-2019;78
Navarra;FP Grado Medio y FP Grado Superior;Mujeres;Centros privados;2017-2018;41
Navarra;FP Básica y Grado Medio;Mujeres;Centros públicos;2016-2017;44
Navarra;FP Básica;Total;Centros públicos;2016-2017;0
Navarra;FP Grado Medio;Total;Centros privados;2017-2018;48
Navarra;FP Grado Medio y FP Grado Superior;Mujeres;Centros privados;2016-2017;30
Navarra;FP Grado Medio y FP Grado Superior;Mujeres;Centros públicos;2016-2017;175
Navarra;FP Grado Medio y FP Grado Superior;Hombres;Todos los centros;2017-2018;384
Navarra;FP Básica y Grado Medio;Hombres;Centros privados;2018-2019;33
Navarra;FP Grado Medio;Hombres;Centros privados;2016-2017;27
Navarra;FP Grado Medio y FP Grado Superior;Hombres;Centros públicos;2018-2019;299
Navarra;FP Básica y Grado Medio;Mujeres;Todos los centros;2018-2019;61
Navarra;FP Grado Medio y FP Grado Superior;Hombres;Todos los centros;2016-2017;319
Navarra;FP Básica y Grado Medio;Total;Centros privados;2018-2019;48
Navarra;FP Grado Superior;Total;Todos los centros;2016-2017;419
Navarra;FP Grado Medio y FP Grado Superior;Hombres;Centros privados;2018-2019;215
Navarra;FP Básica;Mujeres;Todos los centros;2018-2019;0
Navarra;FP Básica;Total;Todos los centros;2016-2017;0
Navarra;FP Básica y Grado Medio;Mujeres;Centros públicos;2018-2019;46
Navarra;FP Básica y Grado Medio;Hombres;Centros públicos;2016-2017;23
Navarra;FP Básica;Hombres;Todos los centros;2018-2019;0
Navarra;FP Grado Medio;Total;Centros públicos;2018-2019;124
Navarra;FP Grado Medio;Mujeres;Centros públicos;2016-2017;44
"Rioja; La";FP Grado Superior;Total;Centros privados;2018-2019;90
"Rioja; La";FP Grado Medio y FP Grado Superior;Mujeres;Centros públicos;2016-2017;11
"Rioja; La";FP Grado Medio y FP Grado Superior;Hombres;Centros privados;2015-2016;16
"Rioja; La";FP Grado Medio;Total;Centros privados;2017-2018;0
"Rioja; La";Total FP;Total;Centros públicos;2016-2017;73
"Rioja; La";FP Grado Medio;Total;Todos los centros;2015-2016;32
"Rioja; La";FP Grado Medio y FP Grado Superior;Total;Centros privados;2018-2019;90
"Rioja; La";FP Grado Medio;Mujeres;Centros privados;2016-2017;0
"Rioja; La";Total FP;Total;Centros privados;2015-2016;19
"Rioja; La";FP Básica;Mujeres;Centros privados;2017-2018;0
"Rioja; La";FP Grado Medio;Total;Centros públicos;2017-2018;28
"Rioja; La";FP Grado Medio;Hombres;Centros privados;2018-2019;0
"Rioja; La";FP Básica;Mujeres;Centros públicos;2015-2016;0
"Rioja; La";FP Básica y Grado Medio;Total;Centros públicos;2015-2016;32
"Rioja; La";Total FP;Mujeres;Centros públicos;2015-2016;11
"Rioja; La";FP Grado Superior;Mujeres;Centros públicos;2016-2017;11
"Rioja; La";FP Grado Medio y FP Grado Superior;Hombres;Todos los centros;2015-2016;65
"Rioja; La";FP Básica y Grado Medio;Total;Centros privados;2018-2019;0
"Rioja; La";FP Básica y Grado Medio;Total;Todos los centros;2018-2019;32
"Rioja; La";FP Grado Superior;Hombres;Centros públicos;2017-2018;40
"Rioja; La";Total FP;Hombres;Centros públicos;2018-2019;75
"Rioja; La";Total FP;Total;Todos los centros;2016-2017;127
"Rioja; La";FP Grado Superior;Total;Todos los centros;2018-2019;134
"Rioja; La";FP Básica y Grado Medio;Mujeres;Centros públicos;2016-2017;0
"Rioja; La";FP Básica;Hombres;Centros privados;2015-2016;0
"Rioja; La";FP Básica y Grado Medio;Hombres;Centros públicos;2015-2016;32
"Rioja; La";FP Básica y Grado Medio;Hombres;Todos los centros;2015-2016;32
"Rioja; La";FP Básica;Hombres;Todos los centros;2016-2017;0
"Rioja; La";FP Básica y Grado Medio;Hombres;Centros públicos;2018-2019;32
"Rioja; La";FP Básica;Mujeres;Centros públicos;2017-2018;0
"Rioja; La";Total FP;Hombres;Centros públicos;2017-2018;68
"Rioja; La";Total FP;Hombres;Todos los centros;2018-2019;158
"Rioja; La";Total FP;Total;Centros públicos;2018-2019;76
"Rioja; La";Total FP;Total;Centros públicos;2015-2016;60
"Rioja; La";FP Grado Medio y FP Grado Superior;Hombres;Centros privados;2016-2017;48
"Rioja; La";FP Grado Medio;Mujeres;Centros públicos;2016-2017;0
"Rioja; La";FP Básica y Grado Medio;Mujeres;Todos los centros;2015-2016;0
"Rioja; La";FP Básica;Hombres;Todos los centros;2017-2018;0
"Rioja; La";Total FP;Total;Centros privados;2016-2017;54
"Rioja; La";FP Básica;Total;Todos los centros;2018-2019;0
"Rioja; La";FP Básica;Hombres;Todos los centros;2015-2016;0
"Rioja; La";Total FP;Total;Todos los centros;2017-2018;134
"Rioja; La";Total FP;Mujeres;Centros privados;2015-2016;3
"Rioja; La";FP Básica;Hombres;Centros privados;2018-2019;0
"Rioja; La";FP Básica;Total;Centros públicos;2015-2016;0
"Rioja; La";FP Básica y Grado Medio;Hombres;Todos los centros;2016-2017;33
"Rioja; La";FP Grado Superior;Total;Todos los centros;2015-2016;47
"Rioja; La";Total FP;Mujeres;Todos los centros;2016-2017;17
"Rioja; La";Total FP;Hombres;Todos los centros;2017-2018;129
"Rioja; La";FP Grado Superior;Mujeres;Centros privados;2017-2018;5
"Rioja; La";FP Básica y Grado Medio;Mujeres;Centros privados;2018-2019;0
"Rioja; La";FP Grado Medio y FP Grado Superior;Hombres;Centros públicos;2018-2019;75
"Rioja; La";FP Grado Medio;Total;Centros públicos;2018-2019;32
"Rioja; La";FP Grado Superior;Mujeres;Centros privados;2016-2017;6
"Rioja; La";FP Grado Medio y FP Grado Superior;Total;Centros públicos;2018-2019;76
"Rioja; La";FP Básica y Grado Medio;Mujeres;Centros públicos;2018-2019;0
"Rioja; La";FP Grado Medio y FP Grado Superior;Mujeres;Centros privados;2018-2019;7
"Rioja; La";FP Grado Medio y FP Grado Superior;Total;Todos los centros;2015-2016;79
"Rioja; La";FP Básica y Grado Medio;Mujeres;Centros privados;2017-2018;0
"Rioja; La";FP Básica;Mujeres;Centros privados;2015-2016;0
"Rioja; La";Total FP;Mujeres;Centros públicos;2018-2019;1
"Rioja; La";FP Básica y Grado Medio;Total;Centros privados;2015-2016;0
"Rioja; La";FP Grado Medio;Hombres;Centros públicos;2018-2019;32
"Rioja; La";FP Básica y Grado Medio;Mujeres;Centros públicos;2017-2018;0
"Rioja; La";FP Grado Superior;Total;Centros públicos;2016-2017;40
"Rioja; La";FP Grado Superior;Hombres;Centros privados;2016-2017;48
"Rioja; La";FP Grado Medio y FP Grado Superior;Total;Centros privados;2016-2017;54
"Rioja; La";FP Básica y Grado Medio;Mujeres;Todos los centros;2017-2018;0
"Rioja; La";FP Básica y Grado Medio;Total;Todos los centros;2015-2016;32
"Rioja; La";FP Básica;Hombres;Centros públicos;2015-2016;0
"Rioja; La";FP Básica y Grado Medio;Total;Todos los centros;2017-2018;28
"Rioja; La";FP Grado Medio;Total;Todos los centros;2018-2019;32
"Rioja; La";FP Grado Superior;Mujeres;Centros públicos;2018-2019;1
"Rioja; La";FP Grado Superior;Hombres;Centros públicos;2015-2016;17
"Rioja; La";FP Grado Medio y FP Grado Superior;Hombres;Todos los centros;2016-2017;110
"Rioja; La";FP Básica;Mujeres;Todos los centros;2018-2019;0
"Rioja; La";FP Grado Medio y FP Grado Superior;Mujeres;Todos los centros;2017-2018;5
"Rioja; La";FP Básica;Mujeres;Centros públicos;2016-2017;0
"Rioja; La";Total FP;Hombres;Centros públicos;2015-2016;49
"Rioja; La";FP Grado Medio y FP Grado Superior;Mujeres;Centros públicos;2015-2016;11
"Rioja; La";FP Grado Medio;Hombres;Centros públicos;2016-2017;33
"Rioja; La";FP Básica;Total;Todos los centros;2016-2017;0
"Rioja; La";FP Grado Medio;Total;Centros privados;2015-2016;0
"Rioja; La";Total FP;Hombres;Centros públicos;2016-2017;62
"Rioja; La";Total FP;Total;Todos los centros;2015-2016;79
"Rioja; La";FP Básica y Grado Medio;Hombres;Centros privados;2018-2019;0
"Rioja; La";FP Grado Medio;Hombres;Todos los centros;2017-2018;28
"Rioja; La";FP Básica y Grado Medio;Mujeres;Centros privados;2015-2016;0
"Rioja; La";FP Grado Medio y FP Grado Superior;Total;Centros públicos;2016-2017;73
"Rioja; La";FP Grado Superior;Mujeres;Centros públicos;2017-2018;0
"Rioja; La";FP Básica y Grado Medio;Mujeres;Centros privados;2016-2017;0
"Rioja; La";FP Grado Superior;Hombres;Todos los centros;2017-2018;101
"Rioja; La";FP Básica y Grado Medio;Hombres;Centros públicos;2016-2017;33
"Rioja; La";FP Grado Medio;Mujeres;Centros privados;2015-2016;0
"Rioja; La";FP Grado Medio;Total;Centros públicos;2015-2016;32
"Rioja; La";FP Básica;Total;Todos los centros;2017-2018;0
"Rioja; La";FP Básica y Grado Medio;Hombres;Centros privados;2015-2016;0
"Rioja; La";FP Grado Medio;Mujeres;Todos los centros;2015-2016;0
"Rioja; La";Total FP;Total;Centros privados;2018-2019;90
"Rioja; La";FP Grado Medio y FP Grado Superior;Hombres;Centros privados;2017-2018;61
"Rioja; La";Total FP;Total;Todos los centros;2018-2019;166
"Rioja; La";FP Grado Medio y FP Grado Superior;Mujeres;Centros privados;2015-2016;3
"Rioja; La";FP Grado Superior;Total;Centros públicos;2015-2016;28
"Rioja; La";FP Básica;Hombres;Centros públicos;2016-2017;0
"Rioja; La";FP Básica y Grado Medio;Total;Centros públicos;2017-2018;28
"Rioja; La";FP Grado Medio;Total;Todos los centros;2016-2017;33
"Rioja; La";FP Básica;Hombres;Centros públicos;2018-2019;0
"Rioja; La";FP Básica y Grado Medio;Hombres;Centros públicos;2017-2018;28
"Rioja; La";FP Grado Medio;Mujeres;Todos los centros;2018-2019;0
"Rioja; La";FP Grado Superior;Mujeres;Todos los centros;2015-2016;14
"Rioja; La";FP Grado Medio;Mujeres;Centros públicos;2018-2019;0
"Rioja; La";FP Grado Superior;Mujeres;Todos los centros;2018-2019;8
"Rioja; La";FP Grado Medio;Mujeres;Centros privados;2017-2018;0
"Rioja; La";FP Grado Medio;Hombres;Centros privados;2016-2017;0
"Rioja; La";FP Grado Medio;Mujeres;Centros públicos;2017-2018;0
"Rioja; La";Total FP;Mujeres;Centros privados;2017-2018;5
"Rioja; La";FP Grado Medio y FP Grado Superior;Total;Todos los centros;2016-2017;127
"Rioja; La";FP Grado Medio;Hombres;Centros públicos;2015-2016;32
"Rioja; La";FP Grado Medio y FP Grado Superior;Hombres;Centros públicos;2015-2016;49
"Rioja; La";FP Grado Medio;Mujeres;Todos los centros;2017-2018;0
"Rioja; La";FP Grado Medio;Hombres;Todos los centros;2016-2017;33
"Rioja; La";FP Grado Superior;Total;Centros públicos;2018-2019;44
"Rioja; La";FP Básica;Hombres;Centros privados;2016-2017;0
"Rioja; La";FP Grado Medio y FP Grado Superior;Mujeres;Centros públicos;2017-2018;0
"Rioja; La";FP Grado Superior;Total;Centros públicos;2017-2018;40
"Rioja; La";FP Grado Superior;Hombres;Centros públicos;2016-2017;29
"Rioja; La";FP Grado Superior;Hombres;Todos los centros;2016-2017;77
"Rioja; La";FP Básica;Total;Centros públicos;2016-2017;0
"Rioja; La";FP Básica y Grado Medio;Total;Centros privados;2016-2017;0
"Rioja; La";FP Grado Medio;Hombres;Centros públicos;2017-2018;28
"Rioja; La";FP Grado Medio y FP Grado Superior;Mujeres;Todos los centros;2015-2016;14
"Rioja; La";Total FP;Hombres;Centros privados;2018-2019;83
"Rioja; La";Total FP;Hombres;Centros privados;2015-2016;16
"Rioja; La";Total FP;Hombres;Todos los centros;2016-2017;110
"Rioja; La";FP Grado Medio y FP Grado Superior;Hombres;Todos los centros;2017-2018;129
"Rioja; La";FP Grado Medio y FP Grado Superior;Total;Centros públicos;2017-2018;68
"Rioja; La";FP Básica y Grado Medio;Hombres;Centros privados;2017-2018;0
"Rioja; La";FP Grado Medio y FP Grado Superior;Mujeres;Centros privados;2017-2018;5
"Rioja; La";FP Grado Superior;Mujeres;Todos los centros;2016-2017;17
"Rioja; La";FP Grado Medio;Mujeres;Centros públicos;2015-2016;0
"Rioja; La";FP Grado Medio y FP Grado Superior;Mujeres;Todos los centros;2018-2019;8
"Rioja; La";Total FP;Mujeres;Centros públicos;2016-2017;11
"Rioja; La";Total FP;Hombres;Todos los centros;2015-2016;65
"Rioja; La";FP Grado Superior;Total;Todos los centros;2016-2017;94
"Rioja; La";Total FP;Mujeres;Todos los centros;2015-2016;14
"Rioja; La";FP Grado Medio;Hombres;Centros privados;2017-2018;0
"Rioja; La";FP Básica y Grado Medio;Mujeres;Todos los centros;2018-2019;0
"Rioja; La";FP Grado Superior;Hombres;Centros privados;2018-2019;83
"Rioja; La";FP Básica;Mujeres;Centros privados;2016-2017;0
"Rioja; La";Total FP;Hombres;Centros privados;2017-2018;61
"Rioja; La";FP Grado Medio;Hombres;Centros privados;2015-2016;0
"Rioja; La";FP Básica;Mujeres;Todos los centros;2016-2017;0
"Rioja; La";FP Básica y Grado Medio;Hombres;Todos los centros;2018-2019;32
"Rioja; La";Total FP;Mujeres;Todos los centros;2017-2018;5
"Rioja; La";FP Grado Medio y FP Grado Superior;Total;Todos los centros;2017-2018;134
"Rioja; La";FP Básica;Total;Centros públicos;2018-2019;0
"Rioja; La";FP Grado Medio;Mujeres;Todos los centros;2016-2017;0
"Rioja; La";FP Grado Medio y FP Grado Superior;Total;Centros privados;2015-2016;19
"Rioja; La";FP Grado Superior;Mujeres;Centros públicos;2015-2016;11
"Rioja; La";FP Básica;Mujeres;Todos los centros;2015-2016;0
"Rioja; La";Total FP;Mujeres;Centros privados;2016-2017;6
"Rioja; La";FP Grado Medio y FP Grado Superior;Mujeres;Centros públicos;2018-2019;1
"Rioja; La";FP Básica;Mujeres;Centros privados;2018-2019;0
"Rioja; La";Total FP;Hombres;Centros privados;2016-2017;48
"Rioja; La";FP Básica y Grado Medio;Mujeres;Todos los centros;2016-2017;0
"Rioja; La";FP Básica;Mujeres;Centros públicos;2018-2019;0
"Rioja; La";FP Básica;Hombres;Todos los centros;2018-2019;0
"Rioja; La";FP Grado Superior;Total;Centros privados;2015-2016;19
"Rioja; La";FP Grado Medio y FP Grado Superior;Hombres;Centros privados;2018-2019;83
"Rioja; La";FP Grado Medio;Hombres;Todos los centros;2015-2016;32
"Rioja; La";Total FP;Mujeres;Centros privados;2018-2019;7
"Rioja; La";FP Grado Medio y FP Grado Superior;Hombres;Centros públicos;2017-2018;68
"Rioja; La";FP Básica;Mujeres;Todos los centros;2017-2018;0
"Rioja; La";FP Básica;Hombres;Centros públicos;2017-2018;0
"Rioja; La";FP Grado Medio y FP Grado Superior;Total;Centros públicos;2015-2016;60
"Rioja; La";FP Grado Superior;Hombres;Centros privados;2015-2016;16
"Rioja; La";Total FP;Total;Centros públicos;2017-2018;68
"Rioja; La";Total FP;Mujeres;Todos los centros;2018-2019;8
"Rioja; La";FP Grado Medio y FP Grado Superior;Mujeres;Centros privados;2016-2017;6
"Rioja; La";FP Básica y Grado Medio;Total;Centros públicos;2016-2017;33
"Rioja; La";FP Básica;Total;Centros privados;2017-2018;0
"Rioja; La";Total FP;Total;Centros privados;2017-2018;66
"Rioja; La";FP Grado Superior;Total;Todos los centros;2017-2018;106
"Rioja; La";FP Grado Medio;Total;Todos los centros;2017-2018;28
"Rioja; La";FP Grado Medio;Mujeres;Centros privados;2018-2019;0
"Rioja; La";FP Básica;Hombres;Centros privados;2017-2018;0
"Rioja; La";FP Básica;Total;Centros privados;2015-2016;0
"Rioja; La";Total FP;Mujeres;Centros públicos;2017-2018;0
"Rioja; La";FP Grado Superior;Hombres;Todos los centros;2015-2016;33
"Rioja; La";FP Grado Medio;Total;Centros públicos;2016-2017;33
"Rioja; La";FP Grado Superior;Total;Centros privados;2017-2018;66
"Rioja; La";FP Grado Superior;Hombres;Centros privados;2017-2018;61
"Rioja; La";FP Grado Superior;Total;Centros privados;2016-2017;54
"Rioja; La";FP Básica y Grado Medio;Total;Centros públicos;2018-2019;32
"Rioja; La";FP Básica;Total;Todos los centros;2015-2016;0
"Rioja; La";FP Grado Superior;Mujeres;Centros privados;2018-2019;7
"Rioja; La";FP Grado Medio;Total;Centros privados;2016-2017;0
"Rioja; La";FP Grado Medio;Total;Centros privados;2018-2019;0
"Rioja; La";FP Básica;Total;Centros privados;2016-2017;0
"Rioja; La";FP Grado Medio y FP Grado Superior;Total;Centros privados;2017-2018;66
"Rioja; La";FP Grado Medio y FP Grado Superior;Hombres;Todos los centros;2018-2019;158
"Rioja; La";FP Grado Superior;Hombres;Centros públicos;2018-2019;43
"Rioja; La";FP Básica;Total;Centros privados;2018-2019;0
"Rioja; La";FP Grado Medio y FP Grado Superior;Hombres;Centros públicos;2016-2017;62
"Rioja; La";FP Grado Medio y FP Grado Superior;Total;Todos los centros;2018-2019;166
"Rioja; La";FP Grado Medio y FP Grado Superior;Mujeres;Todos los centros;2016-2017;17
"Rioja; La";FP Básica y Grado Medio;Total;Todos los centros;2016-2017;33
"Rioja; La";FP Básica y Grado Medio;Mujeres;Centros públicos;2015-2016;0
"Rioja; La";FP Básica;Total;Centros públicos;2017-2018;0
"Rioja; La";FP Básica y Grado Medio;Hombres;Todos los centros;2017-2018;28
"Rioja; La";FP Grado Superior;Mujeres;Centros privados;2015-2016;3
"Rioja; La";FP Básica y Grado Medio;Hombres;Centros privados;2016-2017;0
"Rioja; La";FP Básica y Grado Medio;Total;Centros privados;2017-2018;0
"Rioja; La";FP Grado Medio;Hombres;Todos los centros;2018-2019;32
"Rioja; La";FP Grado Superior;Hombres;Todos los centros;2018-2019;126
"Rioja; La";FP Grado Superior;Mujeres;Todos los centros;2017-2018;5
Aragón;FP Grado Superior;Mujeres;Centros públicos;2015-2016;25
Aragón;Total FP;Total;Todos los centros;2018-2019;134
Aragón;FP Básica;Total;Centros privados;2015-2016;0
Aragón;FP Grado Superior;Total;Centros privados;2016-2017;8
Aragón;FP Grado Medio y FP Grado Superior;Total;Todos los centros;2018-2019;134
Aragón;FP Básica y Grado Medio;Hombres;Todos los centros;2016-2017;25
Aragón;FP Básica;Total;Centros públicos;2017-2018;0
Aragón;FP Grado Superior;Mujeres;Todos los centros;2016-2017;23
Aragón;FP Grado Medio y FP Grado Superior;Total;Centros públicos;2015-2016;206
Aragón;FP Grado Medio;Mujeres;Centros privados;2016-2017;0
Aragón;FP Grado Medio;Total;Centros públicos;2016-2017;38
Aragón;FP Grado Medio;Total;Todos los centros;2018-2019;7
Aragón;FP Básica y Grado Medio;Hombres;Centros públicos;2018-2019;2
Aragón;FP Grado Medio;Total;Todos los centros;2017-2018;29
Aragón;FP Grado Medio y FP Grado Superior;Mujeres;Centros públicos;2017-2018;21
Aragón;Total FP;Total;Centros públicos;2016-2017;174
Aragón;FP Grado Superior;Mujeres;Centros públicos;2016-2017;23
Aragón;Total FP;Hombres;Todos los centros;2016-2017;146
Aragón;FP Básica;Mujeres;Centros públicos;2016-2017;0
Aragón;FP Grado Medio;Hombres;Todos los centros;2016-2017;25
Aragón;FP Básica;Hombres;Centros privados;2015-2016;0
Aragón;FP Grado Medio y FP Grado Superior;Mujeres;Todos los centros;2018-2019;30
Aragón;FP Grado Superior;Hombres;Centros privados;2018-2019;25
Aragón;FP Grado Medio;Total;Centros privados;2017-2018;1
Aragón;Total FP;Total;Centros públicos;2015-2016;206
Aragón;FP Grado Medio;Hombres;Centros públicos;2017-2018;19
Aragón;FP Grado Medio;Total;Centros públicos;2017-2018;28
Aragón;FP Básica y Grado Medio;Total;Todos los centros;2017-2018;29
Aragón;FP Grado Superior;Total;Centros privados;2015-2016;11
Aragón;FP Grado Medio;Hombres;Centros públicos;2018-2019;2
Aragón;FP Grado Medio;Mujeres;Todos los centros;2016-2017;13
Aragón;FP Básica;Mujeres;Centros privados;2018-2019;0
Aragón;FP Grado Superior;Mujeres;Centros privados;2018-2019;0
Aragón;FP Grado Superior;Total;Todos los centros;2015-2016;182
Aragón;Total FP;Hombres;Centros públicos;2016-2017;138
Aragón;FP Grado Medio y FP Grado Superior;Total;Centros públicos;2016-2017;174
Aragón;FP Grado Medio;Hombres;Centros privados;2015-2016;0
Aragón;FP Grado Medio;Hombres;Todos los centros;2015-2016;29
Aragón;FP Básica;Total;Todos los centros;2015-2016;0
Aragón;FP Básica;Total;Centros públicos;2018-2019;0
Aragón;FP Grado Medio;Hombres;Centros privados;2017-2018;1
Aragón;FP Grado Medio y FP Grado Superior;Mujeres;Centros públicos;2015-2016;31
Aragón;FP Básica y Grado Medio;Hombres;Centros públicos;2017-2018;19
Aragón;FP Grado Superior;Total;Centros privados;2018-2019;25
Aragón;FP Básica;Mujeres;Centros privados;2017-2018;0
